"","zOTU","ELAoL373o45o5cm","ELAoL226No12o125cm","ELAoL373o25o3cm","ELAoL373o75o8cm","ELAoL226No6o65cm","ELAoL226No15o2cm","ELAoL226So45o5cm","ELAoL226No8o85cm","ELAoL226No9o95cm","ELAoL224o2o25cm","ELAoL224o185o19cm","ELAoL226So7o75cm","ELAoL226No0o05cm","ELAoL224o14o145cm","ELAoL224o1o15cm","ELAoL224o25o3cm","ELAoL226No85o9cm","ELAoL224o13o135cm","ELAoL224o0o05cm","ELAoL224o125o13cm","ELAoL227o10o105cm","ELAoL224o65o7cm","ELAoL226So105o11cm","ELAoL226So1o15cm","ELAoL226No13o135cm","ELAoL227o75o8cm","ELAoL373o8o85cm","ELAoL224o105o11cm","ELAoL226So0o05cm","ELAoL224o115o12cm","ELAoL224o175o18cm","ELAoL224o11o115cm","ELAoL226No7o75cm","ELAoL227o95o10cm","ELAoL373o05o1cm","ELAoL227o1o15cm","ELAoL227o0o05cm","ELAoL226So115o12cm","ELAoL226No65o7cm","ELAoL373o5o55cm","ELAoL227o2o25cm","ELAoL224o7o75cm","ELAoL226No1o15cm","ELAoL227o11o115cm","ELAoL224o145o15cm","ELAoL226No125o13cm","ELAoL224o35o4cm","ELAoL373o7o75cm","ELAoL227o4o45cm","ELAoL224o17o175cm","ELAoL227o05o1cm","ELAoL226No135o14cm","ELAoL226So75o8cm","ELAoL224o45o5cm","ELAoL224o55o6cm","ELAoL224o85o9cm","ELAoL227o35o4cm","ELAoL226No4o45cm","ELAoL224o75o8cm","ELAoL226No11o115cm","ELAoL224o155o16cm","ELAoL226So2o25cm","ELAoL224o15o2cm","ELAoL227o65o7cm","ELAoL226No3o35cm","ELAoL224o05o1cm","ELAoL373o85o9cm","ELAoL226No45o5cm","ELAoL224o9o95cm","ELAoL226So95o10cm","ELAoL226So3o35cm","ELAoL227o105o11cm","ELAoL373o4o45cm","ELAoL227o9o95cm","ELAoL226So5o55cm","ELAoL373o2o25cm","ELAoL373o6o65cm","ELAoL224o5o55cm","ELAoL227o15o2cm","ELAoL224o4o45cm","ELAoL226No05o1cm","ELAoL226So9o95cm","ELAoL224o165o17cm","ELAoL226No14o145cm","ELAoL227o85o9cm","ELAoL224o10o105cm","ELAoL226So85o9cm","ELAoL227o6o65cm","ELAoL226So11o115cm","ELAoL226No75o8cm","ELAoL226No5o55cm","ELAoL226So35o4cm","ELAoL373o35o4cm","ELAoL227o115o12cm","ELAoL227o55o6cm","ELAoL224o12o125cm","ELAoL373o65o7cm","ELAoL226No95o10cm","ELAoL227o5o55cm","ELAoL226So65o7cm","ELAoL226No115o12cm","ELAoL227o45o5cm","ELAoL373o1o15cm","ELAoL227o3o35cm","ELAoL226No2o25cm","ELAoL224o95o10cm","ELAoL224o16o165cm","ELAoL373o55o6cm","ELAoL227o7o75cm","ELAoL227o8o85cm","ELAoL226So6o65cm","ELAoL373o3o35cm","ELAoL227o25o3cm","ELAoL224o135o14cm","ELAoL226So55o6cm","ELAoL226No35o4cm","ELAoL224o19o195cm","ELAoL226So15o2cm","ELAoL226No10o105cm","ELAoL226No55o6cm","ELAoL226So10o105cm","ELAoL373o0o05cm","ELAoL224o18o185cm","ELAoL224o6o65cm","ELAoL226No105o11cm","ELAoL226So8o85cm","ELAoL226No25o3cm","ELAoL226So25o3cm","ELAoL224o3o35cm","ELAoL224o15o155cm","ELAoL226So05o1cm","ELAoL226No145o15cm","ELAoL224o8o85cm","ELAoL373o15o2cm","ELAoL226So4o45cm","scientificName"
"1","Zotu100",0,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,1006,0,0,0,0,0,0,0,214,0,0,0,0,0,3,0,0,0,0,0,0,0,408,0,111,0,0,0,0,0,0,0,0,21,0,0,533,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5872,0,0,0,0,0,0,0,"Trichocerca spp."
"2","Zotu101",0,1003,0,0,0,457,10,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2822,1238,0,63,0,0,0,0,0,0,0,"Melosira ambiqua"
"3","Zotu102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trichocerca spp."
"4","Zotu103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,"unknown dinoflagellate"
"5","Zotu104",0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,4832,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nannochloropsis limnetica"
"6","Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,"unknown copepod"
"7","Zotu107",0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9669,0,0,0,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Keratella cochlearis"
"8","Zotu108",0,0,0,7912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,"Leptodiaptomus minutus"
"9","Zotu109",0,0,0,0,0,0,0,133,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,24,0,1,0,1,0,0,0,0,"Chattonella marina"
"10","Zotu111",0,0,149,57,0,0,819,22,0,0,0,0,58,0,0,0,83,0,0,0,0,0,27,138,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1831,0,0,174,0,0,0,0,0,239,0,93,0,0,903,0,0,0,0,3,0,0,0,0,0,0,0,0,0,180,0,32,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,981,0,0,4,1,0,0,9,0,0,197,0,0,0,3,1005,0,0,0,0,0,0,20,0,"Coscinodiscus wailesii"
"11","Zotu113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Botryococcus braunii"
"12","Zotu114",0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,6443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quedius obliqueseriatus"
"13","Zotu116",0,0,0,0,0,0,0,0,0,0,0,0,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Conochilus unicornis"
"14","Zotu117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3789,0,0,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Ascomorpha spp."
"15","Zotu118",0,0,0,0,6,1,0,0,412,0,0,513,10,0,0,0,264,0,0,0,0,0,0,15,0,0,0,0,113,0,0,0,159,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,210,0,49,0,0,11,0,0,7,0,25,169,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,325,895,515,0,0,0,0,0,1312,0,0,428,0,0,0,62,0,0,0,0,0,0,0,0,0,0,9,0,42,0,5,0,0,0,0,0,0,152,0,0,0,176,0,0,0,19,"Melosira ambiqua"
"16","Zotu119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Botryococcus braunii"
"17","Zotu12",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,49016,8231,0,0,0,0,0,0,0,0,0,0,0,0,0,21988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,"Polyarthra spp."
"18","Zotu120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Petalonia tenella"
"19","Zotu122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chaetonotus similis"
"20","Zotu123",0,0,0,0,0,0,0,0,0,0,0,9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unknown bacterium"
"21","Zotu127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,"unknown copepod"
"22","Zotu129",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quedius obliqueseriatus"
"23","Zotu13",0,0,0,0,0,2311,5692,2655,0,0,0,0,707,0,1,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37179,0,0,0,0,0,0,9,0,0,0,0,1,0,0,11401,360,0,0,0,0,0,0,1398,162,0,5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,153,0,6152,0,0,0,0,1,0,0,0,6,0,11512,19314,0,0,0,1,0,1,0,0,3398,0,1589,0,0,2710,0,0,0,0,0,0,0,516,0,0,0,3096,0,0,0,0,0,0,2360,"Chattonella marina"
"24","Zotu130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,"Polyarthra vulgaris"
"25","Zotu134",0,292,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,75,0,0,0,0,3844,324,0,0,0,0,0,0,0,0,0,"Dinobryon pediforme"
"26","Zotu135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3067,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,4958,0,0,0,0,0,0,350,0,"Chattonella marina"
"27","Zotu139",0,0,0,0,0,0,0,0,0,0,0,0,1,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4156,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frustulia vulgaris"
