#OTU ID	ELAoL373o45o5cm	ELAoL226No12o125cm	ELAoL373o25o3cm	ELAoextractioncontrolo2020o07o14	ELAoL373o75o8cm	ELAoL226No6o65cm	ELAoL226No15o2cm	ELAoextractioncontrolo2020o06o24	ELAoL226So45o5cm	ELAoL226No8o85cm	ELAoL226No9o95cm	ELAoL224o2o25cm	ELAoL224o185o19cm	ELAoL226So7o75cm	ELAoL226No0o05cm	ELAoL224o14o145cm	ELAoL224o1o15cm	ELAoL224o25o3cm	ELAoL226No85o9cm	ELAoL224o13o135cm	ELAoL224o0o05cm	ELAoL224o125o13cm	ELAoL227o10o105cm	ELAoL224o65o7cm	ELAoL226So105o11cm	ELAoL226So1o15cm	ELAoL226No13o135cm	ELAoL227o75o8cm	ELAoL373o8o85cm	ELAoL224o105o11cm	ELAoL226So0o05cm	ELAoL224o115o12cm	ELAoL224o175o18cm	ELAoL224o11o115cm	ELAoL226No7o75cm	ELAoL227o95o10cm	ELAoL373o05o1cm	ELAoL227o1o15cm	ELAoL227o0o05cm	ELAoL226So115o12cm	ELAoL226No65o7cm	ELAoL373o5o55cm	ELAoL227o2o25cm	ELAoL224o7o75cm	ELAoL226No1o15cm	ELAoL227o11o115cm	ELAoL224o145o15cm	ELAoextractioncontrolo2020o07o21	ELAoL226No125o13cm	ELAoL224o35o4cm	ELAoL373o7o75cm	ELAoL227o4o45cm	ELAoL224o17o175cm	ELAoL227o05o1cm	ELAoL226No135o14cm	ELAoL226So75o8cm	ELAoL224o45o5cm	ELAoL224o55o6cm	ELAoextractioncontrolo2020o06o25	ELAoL224o85o9cm	ELAoL227o35o4cm	ELAoL226No4o45cm	ELAoL224o75o8cm	ELAoL226No11o115cm	ELAoL224o155o16cm	ELAoL226So2o25cm	ELAoL224o15o2cm	ELAoL227o65o7cm	ELAoL226No3o35cm	ELAoextractioncontrolo2020o06o30	ELAoL224o05o1cm	ELAoL373o85o9cm	ELAoL226No45o5cm	ELAoL224o9o95cm	ELAoL226So95o10cm	BlankpcrCES	ELAoL226So3o35cm	ELAoL227o105o11cm	ELAoL373o4o45cm	ELAoL227o9o95cm	ELAoL226So5o55cm	ELAoL373o2o25cm	ELAoL373o6o65cm	ELAoL224o5o55cm	ELAoL227o15o2cm	ELAoL224o4o45cm	ELAoL226No05o1cm	ELAoL226So9o95cm	ELAoL224o165o17cm	ELAoL226No14o145cm	ELAoL227o85o9cm	ELAoL224o10o105cm	ELAoL226So85o9cm	ELAoL227o6o65cm	ELAoL226So11o115cm	ELAoL226No75o8cm	ELAoL226No5o55cm	ELAoL226So35o4cm	ELAoL373o35o4cm	ELAoL227o115o12cm	ELAoL227o55o6cm	ELAoL224o12o125cm	ELAoL373o65o7cm	ELAoL226No95o10cm	ELAoL227o5o55cm	ELAoL226So65o7cm	ELAoL226No115o12cm	ELAoL227o45o5cm	ELAoL373o1o15cm	ELAoL227o3o35cm	ELAoL226No2o25cm	ELAoL224o95o10cm	ELAoL224o16o165cm	ELAoL373o55o6cm	ELAoL227o7o75cm	ELAoL227o8o85cm	ELAoL226So6o65cm	ELAoL373o3o35cm	ELAoextractioncontrolo2020o07o28	ELAoL227o25o3cm	ELAoL224o135o14cm	ELAoL226So55o6cm	ELAoL226No35o4cm	ELAoL224o19o195cm	ELAoL226So15o2cm	ELAoL226No10o105cm	ELAoL226No55o6cm	ELAoL226So10o105cm	ELAoL373o0o05cm	ELAoL224o18o185cm	ELAoL224o6o65cm	ELAoL226No105o11cm	ELAoL226So8o85cm	ELAoL226No25o3cm	ELAoL226So25o3cm	ELAoL224o3o35cm	ELAoL224o15o155cm	ELAoL226So05o1cm	ELAoL226No145o15cm	ELAoL224o8o85cm	ELAoL373o15o2cm	ELAoL226So4o45cm
Zotu84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6241	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	0	0	0	3830	0	1	0	0	0	0	0	5396	0	13877	0	0	0	8678	0	0	0	0	20	0	0	0	0	304	0	0	0	0	0	216	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	16558	0	0	0	0	0	0	0	0	0	0	0	9602	0	0	0	10706	0	0	1	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	324	0	0	4565	0	0	1	0	0	20051	0	0	0	0	774	0	0	0	1	0	0	0	17660	0	0	0	6574	20484	0	0	0	1	0	0
Zotu57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641	0	0	0	0	1296	0	0	0	0	0	0	0	0	0	0	0	4143	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	7652	0	0	0	0	0	0	0	0	0	9584	0	0	0	0	0	0	0
Zotu32	0	0	0	0	0	0	1	1	0	172	1298	890	0	1	0	0	0	0	72	0	557	0	0	334	0	0	1	0	0	0	4	4746	0	1304	0	0	763	0	1	0	0	409	0	520	141	0	770	0	0	0	0	0	1095	0	180	1304	236	6899	0	5	0	291	2	0	1054	0	0	0	368	0	318	0	0	2532	0	0	0	0	869	0	1	159	8	0	0	92	159	1097	5718	0	0	0	0	0	0	76	0	0	1	0	1076	4879	94	1	0	0	0	0	0	0	67	0	0	0	0	0	1	644	0	0	0	0	0	0	1	2282	9	0	429	0	0	0	791	1397	0	120	3308	5	0	28	0	0
Zotu27	0	0	0	0	1410	0	0	0	0	0	0	17468	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	55	0	1	39838	1	0	0	0	0	0	0	0	3959	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12502	0	0	0	2394	0	0	0	0	12412	2	0	32
Zotu106	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	993	383	0	0	749	0	6	3048	803	90	1	0	0	871	1	860	1	3079	124	1953	0	23699	1	0	0	1	3777	0	1	1705	0	734	497	0	35411	0	1244	6190	1	126	1803	0	245	0	8412	0	1	0	0	0	14245	0	2410	47	0	306	0	0	6889	1929	0	3615	12659	0	2199	5282	41	10092	0	4923	4762	0	36	11472	1	1	25169	1	30929	0	2	8143	25926	4	0	1	0	0	0	5682	0	117	365	21	0	4389	0	0	16108	0	0	15934	7758	2190	0	0	0	0	0	0	4043	1	8170	620	16902	0	0	2	0	46079	21990	7143	34	10473	216	0	13530	0	0	0	0	7422	111	0	0	1	0	1782	668	1	0
Zotu136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu67	0	0	0	1	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	3	1472	0	4	0	0	0	6	0	0	6	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	2	1	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	3	61	0	0	18573	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	10	0	4	0	0	0	0	0	0	0	0	0	3	0
Zotu2	18667	0	13801	1	20545	0	0	0	1	0	0	1	0	0	3	1	9338	0	1	0	2	0	0	4752	0	1	0	0	32827	1	0	1	14008	2	0	0	1217	0	0	0	1	15335	3	12993	0	0	1	0	1	15931	55453	0	1	0	0	1	0	15307	0	0	0	1	8352	1	1891	2	2	2	0	0	2	9848	0	929	0	0	0	0	8133	0	0	2683	44187	10113	2	2	0	0	1	0	2	1192	0	2	0	0	0	0	7749	1	0	38930	19137	1	1	0	0	0	3833	0	0	0	0	35730	3	1	1	16100	0	1	2264	0	1	25357	3	1	1	0	625	1	2869	0	1	0	0	15404	0	0	0	34501	22893	0
