sample_id	lake_id	upperpt	lowerpt	midpt	midpt_year	upperpt_year	lowerpt_year	epilimnion_temp	metalimnion_temp	hypolimnion_temp	sdd	epilimnion_tn	epilimnion_tp	epilimnion_ph	epilimnion_oxygen	profundal_tn	profundal_tp	profundal_ph	profundal_oxygen	meanairtemp	precip_eccc	maxairtemp	minairtemp	precip_ela	ice_duration
L224_0-0.5cm	L224	0	0.5	0.25	2015.98001025736	2018	2012.68004924409	14.959999999999999	9.84	5.12	6.24	0.2	5.98	7	NA	0.4	18.46	6.48	NA	2.96	830.2	7.8	-1.46	799.6	155.2
L224_0.5-1cm	L224	0.5	1	0.75	2009.48621420478	2012.68004924409	2006.39585042276	14.17142857142857	9.742857142857142	5.414285714285715	5.914285714285715	0.2142857142857143	6.4714285714285715	6.928571428571429	9.028571428571428	0.34285714285714286	11.757142857142856	6.4714285714285715	6.742857142857143	3.685714285714286	744.2857142857143	8.642857142857142	-0.9142857142857143	754.5714285714286	149.42857142857142
L224_1-1.5cm	L224	1	1.5	1.25	2003.40630318134	2006.39585042276	2000.51491776385	14.24	10.02	5.34	6	0.24	5.6	6.94	8.78	0.34	9.799999999999999	6.44	6.62	3.36	746.2	8.16	-1.84	746.2	157.6
L224_1.5-2cm	L224	1.5	2	1.75	1997.71903945361	2000.51491776385	1995.01601353395	14.916666666666666	10.333333333333332	5.35	6.2	0.21666666666666667	5.383333333333334	6.933333333333334	8.666666666666666	0.26666666666666666	9.283333333333333	6.416666666666667	6.15	3.1	813	8.033333333333333	-1.75	774.6666666666666	162
L224_2-2.5cm	L224	2	2.5	2.25	1992.40318528819	1995.01601353395	1989.87789999965	14.08	9.76	5.34	6.24	0.2	5.04	6.96	9.04	0.26	10.459999999999999	6.26	6.38	2.7800000000000002	681.6	7.56	-2.2199999999999998	713.4	167.2
L224_2.5-3cm	L224	2.5	3	2.75	1987.43750295166	1989.87789999965	1985.07933942755	14.56	10.56	6.0200000000000005	6.82	0.2	5.64	6.86	9.96	0.27999999999999997	9.5	6.44	7.92	3.02	610.8	7.52	-1.64	639.4	156.8
L224_3-3.5cm	L224	3	3.5	3.25	1982.80075471062	1985.07933942755	1980.59909408422	14.325	10.35	5.875	6.675	0.2	6.85	6.775	9.725000000000001	0.3	9.875	6.375	7.725	3.1	617.75	7.475	-1.05	632.25	155.75
L224_3.5-4cm	L224	3.5	4	3.75	1978.47170283166	1980.59909408422	1976.41592623626	14.9	10.44	5.88	7.78	0.22	4.8	6.78	9.719999999999999	0.3	8.6	6.42	7.2	2.12	570.8	6.64	-2.84	624.2	165.8
L224_4-4.5cm	L224	4	4.5	4.25	1974.42910958135	1976.41592623626	1972.50859815026	14	10.05	5.5	6.6	0.2	5.3	6.75	9.25	0.2	8.15	6.5	7.4	2.4333333333333336	634.3333333333334	7.166666666666667	-2.4	709	171
L224_4.5-5cm	L224	4.5	5	4.75	1970.6517372263	1972.50859815026	1968.85587209281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.625	746.25	6.4	-3.1333333333333333	830	175
L224_5-5.5cm	L224	5	5.5	5.25	1967.1183480331	1968.85587209281	1965.4365103305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	622.25	NA	NA	NA	NA
L224_5.5-6cm	L224	5.5	6	5.75	1963.80770426833	1965.4365103305	1962.22927512991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2666666666666666	759.3333333333334	NA	NA	NA	NA
L224_6-6.5cm	L224	6	6.5	6.25	1960.69856819858	1962.22927512991	1959.21292875765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	587	NA	NA	NA	NA
L224_6.5-7cm	L224	6.5	7	6.75	1957.76970209044	1959.21292875765	1956.36623348029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	561.3333333333334	NA	NA	NA	NA
L224_7-7.5cm	L224	7	7.5	7.25	1954.99986821051	1956.36623348029	1953.66795156442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	595.5	NA	NA	NA	NA
L224_7.5-8cm	L224	7.5	8	7.75	1952.36782882536	1953.66795156442	1951.09684527665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4333333333333336	509.3333333333333	NA	NA	NA	NA
L224_8-8.5cm	L224	8	8.5	8.25	1949.8523462016	1951.09684527665	1948.63167688355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	602	NA	NA	NA	NA
L224_8.5-9cm	L224	8.5	9	8.75	1947.43218260581	1948.63167688355	1946.25120865171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2666666666666666	620.3333333333334	NA	NA	NA	NA
L224_9-9.5cm	L224	9	9.5	9.25	1945.08610030458	1946.25120865171	1943.93420284773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	766	NA	NA	NA	NA
L224_9.5-10cm	L224	9.5	10	9.75	1942.7928615645	1943.93420284773	1941.6594217382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	646	NA	NA	NA	NA
L224_10-10.5cm	L224	10	10.5	10.25	1940.53122865216	1941.6594217382	1939.4056275897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8666666666666667	696	NA	NA	NA	NA
L224_10.5-11cm	L224	10.5	11	10.75	1938.27996383415	1939.4056275897	1937.15158266883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	645	NA	NA	NA	NA
L224_11-11.5cm	L224	11	11.5	11.25	1936.01782937706	1937.15158266883	1934.87604924216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65	558	NA	NA	NA	NA
L224_11.5-12cm	L224	11.5	12	11.75	1933.72358754747	1934.87604924216	1932.5577895763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	590.5	NA	NA	NA	NA
L224_12-12.5cm	L224	12	12.5	12.25	1931.37600061199	1932.5577895763	1930.17556593784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.433333333333333	594	NA	NA	NA	NA
L224_12.5-13cm	L224	12.5	13	12.75	1928.95383083719	1930.17556593784	1927.70814059336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.85	567.5	NA	NA	NA	NA
L224_13-13.5cm	L224	13	13.5	13.25	1926.43584048967	1927.70814059336	1925.13427580944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6666666666666667	717.3333333333334	NA	NA	NA	NA
L224_13.5-14cm	L224	13.5	14	13.75	1923.80079183601	1925.13427580944	1922.4327338527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.333333333333333	652.6666666666666	NA	NA	NA	NA
L224_14-14.5cm	L224	14	14.5	14.25	1921.02744714282	1922.4327338527	1919.5822769897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	704.5	NA	NA	NA	NA
